Avatar number ; Questions
2 ; Q1L : 6 ; Q2L : 2 ; Q1A : 5 ; Q2A : 5 ; Q3A : 5 ; Q4A : 5 ; Q1P : 4 ; Q2P : 2 ; Q3P : 1 ; Q4P : 5 ; 
1 ; Q1L : 6 ; Q2L : 2 ; Q1A : 5 ; Q2A : 5 ; Q3A : 5 ; Q4A : 5 ; Q1P : 2 ; Q2P : 2 ; Q3P : 1 ; Q4P : 5 ; 
3 ; Q1L : 5 ; Q2L : 3 ; Q1A : 5 ; Q2A : 5 ; Q3A : 5 ; Q4A : 5 ; Q1P : 2 ; Q2P : 1 ; Q3P : 1 ; Q4P : 5 ; 
4 ; Q1L : 5 ; Q2L : 2 ; Q1A : 5 ; Q2A : 5 ; Q3A : 5 ; Q4A : 5 ; Q1P : 2 ; Q2P : 2 ; Q3P : 1 ; Q4P : 5 ; 
