Avatar number ; Questions
1 ; Q1L : 5 ; Q2L : 3 ; Q1A : 4 ; Q2A : 4 ; Q3A : 3 ; Q4A : 3 ; Q1P : 3 ; Q2P : 4 ; Q3P : 5 ; Q4P : 6 ; 
2 ; Q1L : 5 ; Q2L : 3 ; Q1A : 5 ; Q2A : 6 ; Q3A : 3 ; Q4A : 5 ; Q1P : 3 ; Q2P : 3 ; Q3P : 3 ; Q4P : 6 ; 
3 ; Q1L : 5 ; Q2L : 3 ; Q1A : 2 ; Q2A : 2 ; Q3A : 3 ; Q4A : 2 ; Q1P : 3 ; Q2P : 3 ; Q3P : 3 ; Q4P : 6 ; 
4 ; Q1L : 4 ; Q2L : 5 ; Q1A : 4 ; Q2A : 4 ; Q3A : 3 ; Q4A : 3 ; Q1P : 3 ; Q2P : 5 ; Q3P : 3 ; Q4P : 6 ; 
